chr	start	end	name
chr1	180788	180947	RUNX1ChIP_MCF10AOEq0.05_peak_1
chr1	817346	817450	RUNX1ChIP_MCF10AOEq0.05_peak_2
chr1	837771	837864	RUNX1ChIP_MCF10AOEq0.05_peak_3
chr1	838431	838570	RUNX1ChIP_MCF10AOEq0.05_peak_4
chr1	898398	898748	RUNX1ChIP_MCF10AOEq0.05_peak_5
chr1	995856	995992	RUNX1ChIP_MCF10AOEq0.05_peak_6
chr1	1005172	1005274	RUNX1ChIP_MCF10AOEq0.05_peak_7
chr1	1021258	1021377	RUNX1ChIP_MCF10AOEq0.05_peak_8
chr1	1021946	1022141	RUNX1ChIP_MCF10AOEq0.05_peak_9
chr1	1213538	1213661	RUNX1ChIP_MCF10AOEq0.05_peak_10
chr1	1332874	1333078	RUNX1ChIP_MCF10AOEq0.05_peak_11
chr1	1344778	1344919	RUNX1ChIP_MCF10AOEq0.05_peak_12
chr1	1360636	1360891	RUNX1ChIP_MCF10AOEq0.05_peak_13
chr1	1371319	1371528	RUNX1ChIP_MCF10AOEq0.05_peak_14
chr1	1692785	1692858	RUNX1ChIP_MCF10AOEq0.05_peak_15
chr1	1758893	1759432	RUNX1ChIP_MCF10AOEq0.05_peak_16
chr1	1763068	1763234	RUNX1ChIP_MCF10AOEq0.05_peak_17
chr1	1764235	1764480	RUNX1ChIP_MCF10AOEq0.05_peak_18
chr1	1780510	1780616	RUNX1ChIP_MCF10AOEq0.05_peak_19
chr1	2231072	2231371	RUNX1ChIP_MCF10AOEq0.05_peak_20
chr1	2234640	2234760	RUNX1ChIP_MCF10AOEq0.05_peak_21
chr1	2290624	2290938	RUNX1ChIP_MCF10AOEq0.05_peak_22
chr1	2291314	2291404	RUNX1ChIP_MCF10AOEq0.05_peak_23
chr1	2316716	2316860	RUNX1ChIP_MCF10AOEq0.05_peak_24
chr1	2597610	2597891	RUNX1ChIP_MCF10AOEq0.05_peak_25
chr1	3306610	3306906	RUNX1ChIP_MCF10AOEq0.05_peak_26
chr1	3313134	3313250	RUNX1ChIP_MCF10AOEq0.05_peak_27
chr1	3473659	3473833	RUNX1ChIP_MCF10AOEq0.05_peak_28
chr1	3510259	3510694	RUNX1ChIP_MCF10AOEq0.05_peak_29
chr1	3516328	3516419	RUNX1ChIP_MCF10AOEq0.05_peak_30
chr1	3540285	3540366	RUNX1ChIP_MCF10AOEq0.05_peak_31
chr1	3553601	3553749	RUNX1ChIP_MCF10AOEq0.05_peak_32
chr1	3709048	3709177	RUNX1ChIP_MCF10AOEq0.05_peak_33
chr1	3717022	3717164	RUNX1ChIP_MCF10AOEq0.05_peak_34
chr1	3773093	3773191	RUNX1ChIP_MCF10AOEq0.05_peak_35
chr1	5621876	5622069	RUNX1ChIP_MCF10AOEq0.05_peak_36
chr1	5717843	5717971	RUNX1ChIP_MCF10AOEq0.05_peak_37
chr1	5740201	5740440	RUNX1ChIP_MCF10AOEq0.05_peak_38
chr1	5740931	5741077	RUNX1ChIP_MCF10AOEq0.05_peak_39
chr1	6109295	6109449	RUNX1ChIP_MCF10AOEq0.05_peak_40
chr1	6170928	6171025	RUNX1ChIP_MCF10AOEq0.05_peak_41
chr1	6219732	6219937	RUNX1ChIP_MCF10AOEq0.05_peak_42
chr1	6294316	6294514	RUNX1ChIP_MCF10AOEq0.05_peak_43
chr1	6301636	6301800	RUNX1ChIP_MCF10AOEq0.05_peak_44
chr1	6358203	6358581	RUNX1ChIP_MCF10AOEq0.05_peak_45
chr1	6365246	6365381	RUNX1ChIP_MCF10AOEq0.05_peak_46
chr1	6390031	6390249	RUNX1ChIP_MCF10AOEq0.05_peak_47
chr1	6599533	6599657	RUNX1ChIP_MCF10AOEq0.05_peak_48
chr1	7556013	7556259	RUNX1ChIP_MCF10AOEq0.05_peak_49
chr1	8107225	8107349	RUNX1ChIP_MCF10AOEq0.05_peak_50
chr1	8137796	8138045	RUNX1ChIP_MCF10AOEq0.05_peak_51
chr1	8145682	8145874	RUNX1ChIP_MCF10AOEq0.05_peak_52
chr1	8153133	8153313	RUNX1ChIP_MCF10AOEq0.05_peak_53
chr1	8155587	8155812	RUNX1ChIP_MCF10AOEq0.05_peak_54
chr1	8190008	8190163	RUNX1ChIP_MCF10AOEq0.05_peak_55
chr1	8197776	8198122	RUNX1ChIP_MCF10AOEq0.05_peak_56
chr1	8212016	8212338	RUNX1ChIP_MCF10AOEq0.05_peak_57
chr1	8218737	8218925	RUNX1ChIP_MCF10AOEq0.05_peak_58
chr1	8626451	8626656	RUNX1ChIP_MCF10AOEq0.05_peak_59
chr1	8847978	8848127	RUNX1ChIP_MCF10AOEq0.05_peak_60
chr1	8858216	8858514	RUNX1ChIP_MCF10AOEq0.05_peak_61
chr1	8898739	8898995	RUNX1ChIP_MCF10AOEq0.05_peak_62
chr1	9078192	9078328	RUNX1ChIP_MCF10AOEq0.05_peak_63
chr1	9109414	9109544	RUNX1ChIP_MCF10AOEq0.05_peak_64
chr1	9119893	9119990	RUNX1ChIP_MCF10AOEq0.05_peak_65
chr1	9143411	9143582	RUNX1ChIP_MCF10AOEq0.05_peak_66
chr1	9164052	9164301	RUNX1ChIP_MCF10AOEq0.05_peak_67
chr1	9185506	9185676	RUNX1ChIP_MCF10AOEq0.05_peak_68
chr1	9228851	9229006	RUNX1ChIP_MCF10AOEq0.05_peak_69
chr1	9242471	9242629	RUNX1ChIP_MCF10AOEq0.05_peak_70
chr1	9281186	9281380	RUNX1ChIP_MCF10AOEq0.05_peak_71
chr1	9300395	9300468	RUNX1ChIP_MCF10AOEq0.05_peak_72
chr1	9411075	9411316	RUNX1ChIP_MCF10AOEq0.05_peak_73
chr1	9881839	9882018	RUNX1ChIP_MCF10AOEq0.05_peak_74
chr1	9882428	9882758	RUNX1ChIP_MCF10AOEq0.05_peak_75
chr1	9891182	9891383	RUNX1ChIP_MCF10AOEq0.05_peak_76
chr1	9893059	9893486	RUNX1ChIP_MCF10AOEq0.05_peak_77
chr1	9905079	9905336	RUNX1ChIP_MCF10AOEq0.05_peak_78
chr1	9907553	9907705	RUNX1ChIP_MCF10AOEq0.05_peak_79
chr1	10225738	10225835	RUNX1ChIP_MCF10AOEq0.05_peak_80
chr1	10634702	10634810	RUNX1ChIP_MCF10AOEq0.05_peak_81
chr1	10635520	10635882	RUNX1ChIP_MCF10AOEq0.05_peak_82
chr1	10898246	10898338	RUNX1ChIP_MCF10AOEq0.05_peak_83
chr1	10898440	10898606	RUNX1ChIP_MCF10AOEq0.05_peak_84
chr1	10899983	10900132	RUNX1ChIP_MCF10AOEq0.05_peak_85
chr1	12075795	12075934	RUNX1ChIP_MCF10AOEq0.05_peak_86
