# This file is generated by MACS version 2.1.2
# Command line: callpeak -t CHNM36.bam.sorted.bam -c CHNM35.bam.sorted.bam -f BAM -n RUNX1ChIP_MCF10AOEq0.05 -g hs -B -q 0.05
# ARGUMENTS LIST:
# name = RUNX1ChIP_MCF10AOEq0.05
# format = BAM
# ChIP-seq file = ['CHNM36.bam.sorted.bam']
# control file = ['CHNM35.bam.sorted.bam']
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off
# Paired-End mode is off

# tag size is determined as 54 bps
# total tags in treatment: 89501295
# tags after filtering in treatment: 80338845
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.10
# total tags in control: 94686274
# tags after filtering in control: 87410774
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.08
# d = 74
# alternative fragment length(s) may be 74 bps
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	180788	180947	160	180922	21.00	13.89918	6.58752	9.83895	RUNX1ChIP_MCF10AOEq0.05_peak_1
chr1	817346	817450	105	817393	21.00	10.13314	4.70449	6.37735	RUNX1ChIP_MCF10AOEq0.05_peak_2
chr1	837771	837864	94	837824	12.00	5.17186	3.45994	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_3
chr1	838431	838570	140	838561	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_4
chr1	898398	898748	351	898521	33.00	27.74328	10.61876	22.81709	RUNX1ChIP_MCF10AOEq0.05_peak_5
chr1	995856	995992	137	995902	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_6
chr1	1005172	1005274	103	1005190	17.00	10.00257	5.32472	6.25493	RUNX1ChIP_MCF10AOEq0.05_peak_7
chr1	1021258	1021377	120	1021315	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_8
chr1	1021946	1022141	196	1022097	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_9
chr1	1213538	1213661	124	1213595	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_10
chr1	1332874	1333078	205	1332936	21.00	10.13314	4.70449	6.37735	RUNX1ChIP_MCF10AOEq0.05_peak_11
chr1	1344778	1344919	142	1344781	11.00	4.49058	3.19379	1.41029	RUNX1ChIP_MCF10AOEq0.05_peak_12
chr1	1360636	1360891	256	1360693	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_13
chr1	1371319	1371528	210	1371428	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_14
chr1	1692785	1692858	74	1692825	18.00	11.33745	5.85619	7.49158	RUNX1ChIP_MCF10AOEq0.05_peak_15
chr1	1758893	1759432	540	1759260	43.00	36.21345	11.71058	30.90335	RUNX1ChIP_MCF10AOEq0.05_peak_16
chr1	1763068	1763234	167	1763115	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_17
chr1	1764235	1764480	246	1764392	27.00	18.30489	7.45219	13.93575	RUNX1ChIP_MCF10AOEq0.05_peak_18
chr1	1780510	1780616	107	1780551	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_19
chr1	2231072	2231371	300	2231184	21.00	10.13314	4.70449	6.37735	RUNX1ChIP_MCF10AOEq0.05_peak_20
chr1	2234640	2234760	121	2234702	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_21
chr1	2290624	2290938	315	2290886	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_22
chr1	2291314	2291404	91	2291356	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_23
chr1	2316716	2316860	145	2316810	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_24
chr1	2597610	2597891	282	2597646	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_25
chr1	3306610	3306906	297	3306708	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_26
chr1	3313134	3313250	117	3313181	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_27
chr1	3473659	3473833	175	3473718	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_28
chr1	3510259	3510694	436	3510538	30.00	24.21380	9.68181	19.47198	RUNX1ChIP_MCF10AOEq0.05_peak_29
chr1	3516328	3516419	92	3516362	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_30
chr1	3540285	3540366	82	3540305	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_31
chr1	3553601	3553749	149	3553668	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_32
chr1	3709048	3709177	130	3709109	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_33
chr1	3717022	3717164	143	3717080	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_34
chr1	3773093	3773191	99	3773158	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_35
chr1	5621876	5622069	194	5622004	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_36
chr1	5717843	5717971	129	5717866	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_37
chr1	5740201	5740440	240	5740321	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_38
chr1	5740931	5741077	147	5740993	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_39
chr1	6109295	6109449	155	6109346	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_40
chr1	6170928	6171025	98	6170982	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_41
chr1	6219732	6219937	206	6219867	25.00	16.30398	6.91989	12.07201	RUNX1ChIP_MCF10AOEq0.05_peak_42
chr1	6294316	6294514	199	6294492	13.00	5.88422	3.72609	2.57094	RUNX1ChIP_MCF10AOEq0.05_peak_43
chr1	6301636	6301800	165	6301693	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_44
chr1	6358203	6358581	379	6358454	47.00	44.60180	14.49081	38.95835	RUNX1ChIP_MCF10AOEq0.05_peak_45
chr1	6365246	6365381	136	6365300	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_46
chr1	6390031	6390249	219	6390102	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_47
chr1	6599533	6599657	125	6599585	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_48
chr1	7556013	7556259	247	7556147	27.00	18.30489	7.45219	13.93575	RUNX1ChIP_MCF10AOEq0.05_peak_49
chr1	8107225	8107349	125	8107328	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_50
chr1	8137796	8138045	250	8137857	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_51
chr1	8145682	8145874	193	8145812	24.00	15.32761	6.65374	11.16594	RUNX1ChIP_MCF10AOEq0.05_peak_52
chr1	8153133	8153313	181	8153254	14.00	5.12056	3.20761	1.93011	RUNX1ChIP_MCF10AOEq0.05_peak_53
chr1	8155587	8155812	226	8155699	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_54
chr1	8190008	8190163	156	8190056	16.00	8.18886	4.52454	4.60940	RUNX1ChIP_MCF10AOEq0.05_peak_55
chr1	8197776	8198122	347	8197984	35.00	22.76671	7.69826	18.12390	RUNX1ChIP_MCF10AOEq0.05_peak_56
chr1	8212016	8212338	323	8212198	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_57
chr1	8218737	8218925	189	8218881	19.00	7.02952	3.57432	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_58
chr1	8626451	8626656	206	8626592	25.00	16.18974	6.86281	11.97248	RUNX1ChIP_MCF10AOEq0.05_peak_59
chr1	8847978	8848127	150	8847980	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_60
chr1	8858216	8858514	299	8858358	19.00	8.59162	4.27681	4.99156	RUNX1ChIP_MCF10AOEq0.05_peak_61
chr1	8898739	8898995	257	8898961	18.00	10.70313	5.50969	6.89188	RUNX1ChIP_MCF10AOEq0.05_peak_62
chr1	9078192	9078328	137	9078259	24.00	15.32761	6.65374	11.16594	RUNX1ChIP_MCF10AOEq0.05_peak_63
chr1	9109414	9109544	131	9109483	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_64
chr1	9119893	9119990	98	9119952	14.00	7.27510	4.34975	3.79586	RUNX1ChIP_MCF10AOEq0.05_peak_65
chr1	9143411	9143582	172	9143537	17.00	7.13320	3.84913	3.65834	RUNX1ChIP_MCF10AOEq0.05_peak_66
chr1	9164052	9164301	250	9164244	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_67
chr1	9185506	9185676	171	9185613	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_68
chr1	9228851	9229006	156	9228942	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_69
chr1	9242471	9242629	159	9242561	19.00	10.71327	5.32299	6.89188	RUNX1ChIP_MCF10AOEq0.05_peak_70
chr1	9281186	9281380	195	9281251	17.00	9.26774	4.92812	5.59773	RUNX1ChIP_MCF10AOEq0.05_peak_71
chr1	9300395	9300468	74	9300442	14.00	6.83586	4.10677	3.42075	RUNX1ChIP_MCF10AOEq0.05_peak_72
chr1	9411075	9411316	242	9411239	60.00	26.72924	5.49052	21.86169	RUNX1ChIP_MCF10AOEq0.05_peak_73
chr1	9881839	9882018	180	9881960	19.00	8.59162	4.27681	4.99156	RUNX1ChIP_MCF10AOEq0.05_peak_74
chr1	9882428	9882758	331	9882646	30.00	21.89615	8.48732	17.31060	RUNX1ChIP_MCF10AOEq0.05_peak_75
chr1	9891182	9891383	202	9891249	24.00	15.32761	6.65374	11.16594	RUNX1ChIP_MCF10AOEq0.05_peak_76
chr1	9893059	9893486	428	9893414	28.00	19.48198	7.79460	15.04323	RUNX1ChIP_MCF10AOEq0.05_peak_77
chr1	9905079	9905336	258	9905235	13.00	6.89880	4.29707	3.48258	RUNX1ChIP_MCF10AOEq0.05_peak_78
chr1	9907553	9907705	153	9907648	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_79
chr1	10225738	10225835	98	10225826	13.00	6.34348	3.98125	2.96888	RUNX1ChIP_MCF10AOEq0.05_peak_80
chr1	10634702	10634810	109	10634769	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_81
chr1	10635520	10635882	363	10635582	25.00	17.51658	7.53957	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_82
chr1	10898246	10898338	93	10898294	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_83
chr1	10898440	10898606	167	10898521	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_84
